name,summary,top_quote
A.J. Brown,"Mixed: still an elite route-runner, but the move to NE with an unsettled target tree (Maye, Diggs/Boutte) and team-changer risk temper the outlook.","I think it's fair to assume, based on the compensation, that the expectation from New England isn't getting the absolute"
Aaron Rodgers,"Bearish: an aging QB off injury-marred years (PIT) - low ceiling, streamer at best.",Aaron Rodgers QBR rank over the last four years: 2022: injured* 2023: injured** 2024: injured*** 2025: injured**** / Art
Amon-Ra St. Brown,"Bullish: elite, high-floor target earner (top YPRR/TPRR); the mild concern is Ben Johnson's departure changing the scheme, but role and efficiency are locked.","Did Ben Johnson's slot WR get 1,000 yards or finish top-15 among all WRs in receptions? 2012: Brian Hartline -✅ 2013: Br"
Ashton Jeanty,"Bullish: a true workhorse rookie (88% of RB touches, league-best yards-after-contact) the staff won't take off the field; the cap is LV's overall offense.","I wrote about big questions we have for the 2025 class, including *the optimal Travis Hunter usage? *the likelihood of a"
Baker Mayfield,"Bullish value: an accurate, productive TB passer and the playbook's 2A stack anchor (a window-winner at ADP) - a strong cheap QB.",It's useless to debate if the Bucs' playoff ceiling is capped by Baker Mayfield (it's not) when the HC is still Todd Bow
Bijan Robinson,"Bullish: league-best efficiency (YPC + YPRR), genuine OPOY buzz and a true bellcow role - an alpha RB1 with essentially no usage risk.","Designed targets per game vs. YPT on those targets, by playcaller - Is there a world where Bijan Robinson gets even more"
Breece Hall,"Mixed: high-volume back due positive TD regression (only 5 scores on 291 touches) with explosive ability, but efficiency and a committee/offense cap the ceiling.","Highest % of rushing yards coming on explosive plays (15+ yards) [min. 350 attempts, past three seasons] 1. De'Von Achan"
Brock Bowers,"Bullish: elite every-down TE (top-3 red-zone expected points, premier first-down rate) - a tier-of-one-caliber producer capped only by LV's offense.","TE first downs per target [min. 65 tgts, 2025] 1. George Kittle - .57 2. Hunter Henry - .50 3. Kyle Pitts - .44 4. Colst"
Brock Purdy,"Bullish on efficiency: most accurate deep passer in 2025 and top EPA/dropback QB three years running, top-10 FP/G each year, now with an upgraded WR room — but a pocket passer with limited rushing, so a high-floor QB that lacks the dual-threat ceiling this build prizes.","Lowest % of dropbacks targeting an ""open"" receiver (not just a step, not a busted coverage) Dak Prescott - 39.9% Brock P"
Bucky Irving,"Bullish: efficient, explosive young lead back with positive TB coachspeak - a strong RB2 value; the only cap is committee usage.","Everything the #Bucs have said about their RB room this offseason, pulled from the Coachspeak Index Discord, and present"
