name,type,note
Rashee Rice,risk,Serving jail time (street-racing plea); bearish-gated. Discount-only talent bet. §11
Josh Jacobs,risk,Booked at OTAs; personal-conduct investigation — suspension possible. §11
Puka Nacua,risk,Open NFL off-field review; early-season tail risk (survivable phase). §11
George Kittle,injury,Achilles; 61.9% inline negative indicator — verify camp. §11
Tucker Kraft,injury,Knee (~10mo); TE4-6 case real / TE1 stretch. §11
Cam Skattebo,injury,Contested 4v3 backfield + fibula recovery vs Roman-fit bulls. §11/§5
Rome Odunze,injury,Foot — "permanent damage" per beat; missed 5+ games 2025. §11
Quinshon Judkins,injury,Dislocated ankle + fractured fibula 12/21/25; recovery concern. §11
Derrick Henry,age,Age flag; zero receiving floor is the 2nd fragility. §11
Davante Adams,age,Age / role-decline flag (dataroma model). §11
Mike Evans,age,Age / role-decline flag. §11
Terry McLaurin,age,Age / role-decline flag. §11
Cooper Kupp,age,Age / role-decline flag. §11
Chris Godwin Jr.,age,Age / role-decline flag. §11
Alvin Kamara,age,Age / role-decline flag. §11
Blake Corum,trap,Trap — take Jaxson Dart instead (+23 board ranks). §4.2
Travis Etienne Jr.,trap,Trap — take Kyren Williams instead (+20). §4.2
Cam Ward,trap,Trap — take Tyrone Tracy Jr. instead (+20). §4.2
Caleb Williams,trap,Trap — take Parker Washington instead (+18). §4.2
Isaiah Likely,trap,Trap — take Baker Mayfield instead (+18). §4.2
Dalton Kincaid,trap,Trap — take Kyler Murray instead (+17). §4.2
Justin Herbert,trap,Trap — take Michael Wilson instead (+16). §4.2
Bo Nix,trap,Trap — take Kyler Murray instead (+16). §4.2
Bhayshul Tuten,trap,Trap — take Rome Odunze instead (+15). §4.2
Jakobi Meyers,trap,Trap — take Jaxson Dart instead (+15). §4.2
Michael Wilson,contingency,Leveraged insurance: +21.5 pts if Marvin Harrison misses time. §9
Christian Watson,contingency,Leveraged insurance: +11.1 pts if Josh Jacobs misses time. §9
Luther Burden III,contingency,Leveraged insurance: +12.9 pts if Rome Odunze misses time. §9
Colston Loveland,contingency,Leveraged insurance: +10.8 pts if Rome Odunze misses time. §9
